"レイヤ名","事務所","告示年月日","告示番号","市町村名","現象","箇所名","箇所番号","経度","緯度","分類"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田16","Ⅱ-1362","140.232662053936","35.7689063327446","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田17","Ⅱ-1363","140.235889388471","35.7679762562245","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田18","Ⅱ-1364","140.236864124591","35.7677356072781","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田18","Ⅱ-1364","140.237141077405","35.7675063604753","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田18","Ⅱ-1364","140.237499236597","35.7679577731034","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田18","Ⅱ-1364","140.237758507021","35.7679240669301","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","平賀1","Ⅱ-1365","140.241919187234","35.7615125787666","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田19","Ⅱ-1367","140.244329309096","35.7722106592389","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田19","Ⅱ-1367","140.244293673607","35.7719215351175","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","吉高3","Ⅱ-7043","140.227616645531","35.7908410485278","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸12","Ⅱ-7047","140.215302590164","35.7777842769465","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸12","Ⅱ-7047","140.215681462785","35.7780511648995","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸12","Ⅱ-7047","140.216087345239","35.7781321582241","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸12","Ⅱ-7047","140.2164586961","35.7780425974284","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸12","Ⅱ-7047","140.216905032361","35.7779957880778","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸12","Ⅱ-7047","140.217269281625","35.7777917983387","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田3","Ⅱ-7049","140.240057202754","35.781303925108","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田3","Ⅱ-7049","140.24065479041","35.780954830747","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田3","Ⅱ-7049","140.241201439499","35.7806081276876","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田4","Ⅱ-7050","140.240774688753","35.7820305396764","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田5","Ⅱ-7051","140.241644695301","35.7825418010714","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","平賀8","Ⅱ-7055","140.252404681335","35.7677590263548","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","平賀9","Ⅱ-7056","140.253001953429","35.7696009320997","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根14","Ⅰ-1293","140.199572277051","35.8016889486748","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根14","Ⅰ-1293","140.199511962716","35.8024442057421","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","萩原7","Ⅱ-1258","140.208676198727","35.7972097941633","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","萩原14","Ⅱ-1271","140.219556032392","35.7960450517387","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","松虫11","Ⅱ-1272","140.219809570254","35.7952216920775","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","松虫11","Ⅱ-1272","140.220678181657","35.7958108303504","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","吉高8","Ⅱ-1280","140.232099685423","35.7927847100041","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","吉高8","Ⅱ-1280","140.232484400004","35.7923314822831","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","吉高8","Ⅱ-1280","140.232198259752","35.7919434618433","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","吉高10","Ⅱ-1282","140.233048520521","35.7902366410326","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","瀬戸4","Ⅱ-1300","140.207756763777","35.7753402957539","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","吉高24","Ⅱ-1311","140.233550881197","35.7851276486438","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","吉田5","Ⅱ-1325","140.152525537651","35.7638709443528","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","師戸5","Ⅱ-1337","140.187907752151","35.759272367552","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","師戸6","Ⅱ-1338","140.188530760088","35.7603370268703","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","師戸7","Ⅱ-1339","140.188812133598","35.7625855937421","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","鎌苅2","Ⅱ-1346","140.199040792075","35.7695154755601","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","鎌苅3","Ⅱ-1347","140.199933222076","35.7706371502059","土砂災害警戒区域"
