"レイヤ名","事務所","告示年月日","告示番号","市町村名","現象","箇所名","箇所番号","経度","緯度","分類"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","平賀1","Ⅱ-1365","140.241934190829","35.7614959945919","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田19","Ⅱ-1367","140.244139573669","35.772297876209","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田19","Ⅱ-1367","140.244447971993","35.7720185424712","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田19","Ⅱ-1367","140.244344851084","35.7718390306789","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","吉高3","Ⅱ-7043","140.22768490578","35.7908042797816","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸12","Ⅱ-7047","140.215349421136","35.777758014035","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸12","Ⅱ-7047","140.215710898407","35.7780246010859","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸12","Ⅱ-7047","140.21605488356","35.7780936547463","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸12","Ⅱ-7047","140.216447855432","35.7779823828579","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸12","Ⅱ-7047","140.216918882552","35.7779648227706","土砂災害特別警戒区域"
